Codigo,Fecha,Solidos Suspendidos,Sólidos Disueltos,Sólidos Sedimentables,Solidos Totales,Alcalinidad,Coliformes Totales,Coliformes Fecales,Dureza Total,Cloruros,Conductividad,DBO,DQO,Fosfatos,Ortofosfatos,GYA,Nitritos,Nitratos,Sulfatos,Turbidez,pH,OD,Temperatura,Silice
-,-,mg/L,mg/L,mg/L,mg/L,mg/L CaCO3,UFC/mL,UFC/mL,mg/L CaCO3,mg/L,µmhos/cm,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,UNT,[H+],mg/L,°C,1
RIO114,03/08/2007,59.3,,,388,154,X,X,,43,470,X,X,0.64,,X,0.0185,0.6,33.8,67,7.9,5.56,27.4,1
RIO115,03/08/2007,X,,,354,165,X,X,,35,472,X,17.1,0.606,,1.01,0.0068,0.5,34.5,62.5,8.1,5.39,29,1
RIO103,15/08/2007,X,,,674,X,X,X,,27,294,X,23.7,0.684,,X,X,0.7,25.7,169,8,7.03,26.8,1
RIO115,15/08/2007,X,,,646,X,X,X,,29,310,X,22.8,0.632,,X,X,0.5,22.2,154,7.9,6.99,25.2,1
RIO103,21/08/2007,X,,,590,X,X,X,,30,364,X,X,0.495,,X,X,0.8,19.3,340,8.2,7.18,27.7,1
RIO107,21/08/2007,X,,,762,X,17000,1700,,34,417,3.37,X,0.446,,X,X,0.9,41.3,528,8.4,7.1,28.7,1
RIO109,21/08/2007,X,,,786,X,35000,35000,,32,405,3.23,X,0.341,,X,X,0.8,46,447,8.2,6.93,27.5,1
RIO111,21/08/2007,X,,,280,X,22000,8000,,22,257,1.94,X,0.5,,X,X,0.5,28.8,106,8.1,7.18,26.1,1
RIO115,21/08/2007,X,,,544,X,13000,1100,,28,361,1.37,X,0.378,,X,X,0.8,34.8,278,8.1,7.19,26.9,1
RIO102,05/09/2007,284,,,374,83,14000,3000,,16,234,1.08,27.2,0.352,,2.73,0,0.6,15.7,168,8,6.4,26.5,1
RIO103,05/09/2007,130,,,236,98,X,X,,17,250,X,X,0.433,,1.36,0,0.7,18.6,143,8.1,6.8,26.8,1
RIO106,05/09/2007,217,,,410,96,X,X,,19.4,290,X,X,0.375,,3,0.0034,0.9,30.5,215,8.1,6.5,28.6,1
RIO107,05/09/2007,194,,,436,107,24000,1700,,21.6,344,2.04,18.7,0.303,,1.36,0.0086,0.9,46.8,222,8.1,6.6,27.4,1
RIO109,05/09/2007,157,,,438,105,30000,24000,,22.4,357,2.23,21.6,0.343,,1.5,0.0065,0.9,57.8,242,8,6.9,27.8,1
RIO111,05/09/2007,219,,,350,58,5000,1700,,12,138,2.62,42.4,0.234,,2.91,0,0.9,0.7,212,7.9,7.85,26,1
RIO112,05/09/2007,264,,,416,63,X,X,,12,162,X,X,0.352,,X,0,0.7,9.5,272,7.9,7.34,25.4,1
RIO113,05/09/2007,260,,,412,51,X,X,,13,159,X,X,0.443,,X,0,1.2,7.7,245,7.9,7.18,26.2,1
RIO114,05/09/2007,157,,,394,88,X,X,,14,221,X,X,0.455,,X,0,0.7,14.1,169,7.9,7.8,25.2,1
RIO116,05/09/2007,115,,,266,40,130,11,,10,92,2.92,36.4,0.286,,3.08,0.0032,0.5,0.4,187,7.9,8.1,25,1
RIO115,05/09/2007,387,,,488,40,9000,700,,10,181,1.3,39,0.449,,2,0,0.6,10.5,377,8,7.34,27.1,1
RIO103,20/09/2007,X,,,468,X,X,X,,18,247,X,X,0.111,,X,X,1.2,26.4,118,7.7,6.29,28.7,1
RIO107,20/09/2007,X,,,518,X,50000,1200,,22,408,1.37,23.1,0.057,,X,X,1.3,21.9,264,7.7,5.49,28,1
RIO109,20/09/2007,X,,,550,X,24000,8000,,19,353,2.06,29.8,0.065,,X,X,1,58.2,259,7.8,4.27,28.4,1
RIO111,20/09/2007,X,,,204,X,13000,400,,13,224,1.13,12.9,0.113,,X,X,1.2,10.6,44.3,7.9,5.13,28.1,1
RIO115,20/09/2007,X,,,324,X,24000,2200,,18,275,1.91,20.5,0.085,,X,X,1.2,22.8,150,7.6,6.24,28.2,1
RIO102,02/10/2007,111,,,137,85,30000,1700,,13,230,0.87,21,0.241,,2.38,0.0064,0.8,14,133,7.3,7.04,26.8,1
RIO103,02/10/2007,112,,,276,90,X,X,,15,233,X,X,0.25,,1.9,0.0064,0.7,14,120,7.3,6.95,27.1,1
RIO106,02/10/2007,230,,,380,84,X,X,,15,236,X,X,0.286,,2.38,0.0087,0.7,18.7,194,7.2,6.96,26.7,1
RIO107,02/10/2007,201,,,432,102,24000,1300,,16,312,1.42,23.9,0.202,,2.5,0.0114,1,33.5,195,7.3,6.74,26.9,1
RIO109,02/10/2007,275,,,546,89,30000,13000,,22,302,1.69,29.4,0.145,,1.9,0.0135,1,34.4,220,7.3,6.46,26.9,1
RIO111,02/10/2007,38,,,196,74,30000,3400,,12,205,0.96,13.3,0.092,,2.94,0.0105,0.6,11.1,58.9,7.9,7.94,26.8,1
RIO112,02/10/2007,63,,,208,80,X,X,,12,220,X,X,0.099,,X,0.0055,0.6,13.6,70.4,7.8,8,26.6,1
RIO113,02/10/2007,45,,,202,81,X,X,,12,220,X,X,0.206,,X,0.0124,0.6,13.3,73.4,7.8,7.59,27.3,1
RIO114,02/10/2007,45,,,236,83,X,X,,12,229,X,X,0.158,,X,0.0105,0.7,13.8,99.1,7.8,7.45,26.9,1
